element_type,osmid,name,parking,geometry,capacity,capacity:disabled,area,efficiency,area_percent
way,141535719,Biltmore Garage,multi-storey,"POLYGON ((299477.7846788014 4633065.6090955725, 299518.7009923299 4633103.041046948, 299557.1756842286 4633061.310258173, 299558.708276586 4633058.466850538, 299520.82178856444 4633022.960843505, 299517.4363709755 4633022.5781817315, 299477.7846788014 4633065.6090955725))",440,,3335.762335881921,7.581278036095275,0.16524975465295852
way,141535724,Freeway Garage,multi-storey,"POLYGON ((299920.9582479759 4632965.162447575, 299927.9506181241 4632966.121963335, 299971.5155789205 4632933.885242661, 299954.2541557694 4632911.755722135, 299946.59480490047 4632910.725988408, 299908.0865699453 4632940.109555882, 299906.6954448672 4632945.927027882, 299914.77259760804 4632956.812793111, 299920.9582479759 4632965.162447575))",300,,1910.9212875271387,6.369737625090463,0.09466479986545216
way,141535769,Civic Center Garage,multi-storey,"POLYGON ((299345.613900384 4632950.890377262, 299388.6201467104 4632905.075156144, 299385.0777653467 4632901.7743977625, 299386.38515875593 4632900.381903432, 299357.0393789514 4632873.059653543, 299355.6434355051 4632874.554656438, 299352.28874535934 4632871.42643108, 299348.6817385481 4632875.283917903, 299334.24419571913 4632890.669704101, 299315.1343462926 4632911.0431389045, 299310.05027418974 4632916.464617792, 299313.6606924875 4632919.818988448, 299312.21618425887 4632921.359817505, 299341.6385897628 4632948.746402754, 299342.4214166956 4632947.913168401, 299345.613900384 4632950.890377262))",450,,3227.814916381965,7.172922036404366,0.15990216606851232
way,141535777,The Arcade Garage,multi-storey,"POLYGON ((299859.5274870428 4633018.2921173265, 299886.41411730525 4632997.468626437, 299890.7745329225 4632994.09034116, 299912.6012773096 4632977.187154432, 299896.1676128453 4632956.123557295, 299894.01983391447 4632957.784006091, 299890.59700224665 4632953.401757162, 299839.67951117334 4632992.857284337, 299859.5274870428 4633018.2921173265))",600,,2151.264519574898,3.585440865958163,0.10657112175810309
way,141535818,Narragansett Hotel Parking Garage,multi-storey,"POLYGON ((299831.59664646536 4632941.200386379, 299846.9738514562 4632928.167343714, 299823.25346851855 4632903.074584246, 299807.7814022254 4632918.355043342, 299817.27760683943 4632927.967399172, 299831.59664646536 4632941.200386379))",65,,712.1771731305405,10.956571894316008,0.03528042206824211
way,141535842,Johnson and Whales University Garage,multi-storey,"POLYGON ((299641.7902166522 4632702.690795931, 299684.32434637495 4632670.725791683, 299637.2470839701 4632611.096621114, 299636.62312749366 4632611.669769794, 299633.770631499 4632608.071697384, 299627.2072205278 4632613.223330431, 299624.03562024556 4632615.723825492, 299623.35227626574 4632616.254194241, 299626.6751280335 4632620.616917035, 299622.0200174253 4632623.570250028, 299601.0751922954 4632639.338267435, 299608.45833867474 4632654.4881720515, 299605.391190395 4632656.563470812, 299641.7902166522 4632702.690795931))",945,,3974.118918199645,4.205416844655709,0.19687319121328997
way,313089120,Garrahy Garage,multi-storey,"POLYGON ((299759.7506530334 4632630.458900967, 299804.0039846242 4632597.22404407, 299871.0178396066 4632685.764824235, 299858.63588260475 4632695.068857902, 299854.11227834225 4632689.083988439, 299824.7728580851 4632711.109827469, 299822.21689570055 4632713.037334928, 299759.7506530334 4632630.458900967))",1250,,5847.897926150083,4.678318340920066,0.2896980061010118
way,313089870,PPAC Square Garage,multi-storey,"POLYGON ((299541.8721755114 4632731.834869332, 299533.4250280778 4632743.006915685, 299572.95613015734 4632779.311386215, 299596.5015353889 4632768.548550204, 299607.2299873395 4632763.424308589, 299590.69429616246 4632726.651249283, 299562.94525710796 4632740.16587486, 299553.4904530777 4632744.765439922, 299541.8721755114 4632731.834869332))",150,,2031.9595471979317,13.546396981319544,0.10066089332183192
way,369433008,Hilton Providence Parking,multi-storey,"POLYGON ((299086.9284648458 4633017.391829667, 299078.33380199084 4633007.654975524, 299074.84197033854 4632979.305436046, 299105.44879245106 4632952.517793091, 299114.09518530185 4632962.319898328, 299108.2399977468 4632967.507667902, 299123.83555452654 4632984.9927682225, 299086.9284648458 4633017.391829667))",220,,1705.3379126727,7.751535966694091,0.08448044053925292
way,461418249,Coro Garage,multi-storey,"POLYGON ((299647.76366281015 4632190.908033084, 299673.1785989256 4632140.077353875, 299706.52094312775 4632156.620865015, 299711.42729060433 4632159.050065489, 299706.3502571364 4632169.193770535, 299702.8555230029 4632176.181580969, 299730.7346758941 4632190.011600153, 299713.8829288493 4632223.710786618, 299647.76366281015 4632190.908033084))",920,,3598.6017318201666,3.9115236215436595,0.17827051012606798
