element_type,osmid,name,parking,geometry,capacity,capacity:disabled,area,efficiency,area_percent
way,146047911,,surface,"POLYGON ((299721.59125119005 4633536.191390738, 299717.9598755826 4633533.848660571, 299716.47340491385 4633528.567566931, 299716.5978287689 4633525.008098698, 299719.00381501194 4633521.895714682, 299723.237147267 4633515.487179022, 299740.49008481996 4633495.311397963, 299745.95498470915 4633489.546146238, 299747.3254496729 4633488.329741335, 299749.15576802765 4633486.322553146, 299750.71214179974 4633484.623094118, 299752.29249540827 4633482.889624798, 299754.0182835293 4633481.007610193, 299755.64690882224 4633479.217224026, 299757.1949808841 4633477.517999766, 299758.9554358915 4633475.390539936, 299760.97895575745 4633473.455716461, 299763.8443565727 4633470.719382987, 299764.9680928234 4633470.187767649, 299766.55525943084 4633470.176534228, 299768.976739214 4633469.686263575, 299771.1748092241 4633468.935569523, 299773.4044264619 4633467.828393195, 299774.10929198907 4633467.475227751, 299775.5439378789 4633466.768197462, 299777.57704543066 4633465.766552299, 299779.70802628656 4633464.10652735, 299782.59514949936 4633461.847425737, 299785.2122346385 4633465.363247786, 299786.9117856714 4633467.282422344, 299797.2522391699 4633479.160167336, 299797.3215899763 4633482.814202228, 299794.0931180394 4633487.716523317, 299792.41771185276 4633494.353223808, 299789.0589769136 4633502.90407548, 299784.50497988285 4633514.766652591, 299779.32190300163 4633526.424650457, 299772.23348178284 4633527.946077276, 299759.54790385015 4633528.746815161, 299755.04487740376 4633527.328651012, 299750.08917125873 4633526.956657324, 299739.2761341649 4633530.805205474, 299733.2323172926 4633536.375589226, 299730.1866297256 4633538.905865605, 299724.32777340495 4633538.337009153, 299721.59125119005 4633536.191390738))",139,2.0,3232.9580718472166,23.258691164368464,0.16015695195947124
way,146047918,,surface,"POLYGON ((299660.78780324943 4633467.057852149, 299661.7404971352 4633461.030377691, 299667.2544777756 4633451.096527402, 299672.83324326004 4633443.172210242, 299675.13317936636 4633436.284569546, 299681.3734355909 4633427.941629461, 299680.79009785224 4633425.224362593, 299681.8142139739 4633423.217581396, 299683.92460285954 4633423.191631284, 299685.6941775235 4633423.164143766, 299687.67893944285 4633422.8083514515, 299689.3434351478 4633422.294870419, 299695.0333676135 4633422.468402558, 299706.83907706593 4633425.548285073, 299709.143285324 4633425.616909768, 299716.50706673134 4633425.610092552, 299726.159265619 4633425.405658691, 299729.13809047604 4633424.044065398, 299736.58120914333 4633419.167804052, 299738.59600890364 4633416.922072431, 299738.90368539654 4633416.3355858475, 299741.3262328498 4633416.178649274, 299741.6281321023 4633416.570217309, 299741.53129522677 4633425.551765712, 299742.54917412257 4633425.68986494, 299745.8698155496 4633426.14111447, 299747.45223209163 4633426.552282456, 299749.0950803233 4633427.339575612, 299750.4858083777 4633429.211853452, 299752.48692017177 4633427.366557002, 299756.2725622833 4633431.649646557, 299753.38773085544 4633434.286516044, 299753.6525841475 4633435.134733732, 299755.9944145406 4633439.502819714, 299756.1570307021 4633440.853967083, 299754.6901910154 4633444.262220996, 299754.05392599397 4633447.05819217, 299753.46686730615 4633449.830556742, 299752.5404412182 4633452.356866592, 299751.24174021895 4633454.649158442, 299749.5541547203 4633456.7078989735, 299747.95905661467 4633458.508457053, 299746.2351350675 4633460.457094852, 299744.5830369543 4633462.003669141, 299742.7455404773 4633463.755474209, 299741.0661495125 4633465.513951779, 299739.27298589336 4633467.364524476, 299737.4160756744 4633469.016864628, 299735.89085293375 4633470.937699845, 299734.0620930603 4633473.000409657, 299733.8344653209 4633473.773559439, 299733.86210562114 4633474.461752769, 299732.5461470878 4633475.843315508, 299726.51608755114 4633481.313303654, 299724.80201550084 4633480.061295338, 299723.181515242 4633479.773439244, 299721.3221968969 4633480.747994376, 299696.5872728918 4633504.412164683, 299696.2428366147 4633504.577414411, 299695.89859517006 4633504.453735816, 299693.34620062023 4633502.058481281, 299664.177948382 4633475.308029203, 299663.4480876132 4633473.883920867, 299662.3634942629 4633472.2586433, 299660.78780324943 4633467.057852149))",196,1.0,5050.748131612475,25.76912312047181,0.2502081400059295
way,146047930,,surface,"POLYGON ((299488.6757315132 4633132.7997625, 299489.6839195106 4633131.704621262, 299511.4146465786 4633108.17981168, 299471.7799036699 4633071.689757746, 299454.7765258751 4633093.070392239, 299476.4542326441 4633118.797264353, 299488.6757315132 4633132.7997625))",69,,1608.3338903490426,23.30918681665279,0.07967497501885144
way,146047932,Empire Lot,surface,"POLYGON ((299148.3194868184 4632871.244989265, 299148.1304464795 4632869.550107016, 299143.9541285879 4632867.356334846, 299148.17132244783 4632860.081140923, 299166.1179678383 4632841.506876965, 299194.6861060673 4632819.9221574, 299199.7856716289 4632825.679287549, 299244.4497186771 4632876.8504240485, 299218.1673282135 4632899.90411803, 299211.03875802574 4632892.04828772, 299194.10686098394 4632905.626601424, 299186.54349915835 4632900.9278615285, 299191.96516896144 4632895.985731951, 299146.18517532747 4632875.1500093, 299148.3194868184 4632871.244989265))",146,,4524.305384448141,30.98839304416535,0.2241287836105538
way,146062999,Rhode Island Department of Transportation Parking Lot,surface,"POLYGON ((299524.4690800216 4633962.359090707, 299537.11266977934 4633926.9882569015, 299540.64401801367 4633927.255673906, 299542.2923945663 4633920.8530092975, 299541.09843691613 4633917.997345359, 299626.114035874 4633906.873066128, 299626.62457422167 4633909.070091444, 299597.9335966003 4633966.961103237, 299591.48116088076 4633965.66452883, 299590.2437309345 4633970.722135842, 299538.00582510896 4633976.191263568, 299536.6271794521 4633972.974083057, 299528.9790359896 4633970.533267232, 299529.79365870147 4633967.287751808, 299530.38413116045 4633964.937534962, 299528.2870691421 4633963.362973918, 299524.4690800216 4633962.359090707))",140,8.0,4632.827242857585,33.09162316326846,0.2295048292249972
way,146063025,,surface,"POLYGON ((299055.97112168797 4632904.583492252, 299060.1037119088 4632891.654376413, 299067.6903110568 4632885.373216004, 299071.8948761398 4632884.143508923, 299074.23819254874 4632877.332221776, 299113.59545771044 4632891.758719614, 299120.4101634553 4632898.500941557, 299123.2321066946 4632904.8444587365, 299111.78802907385 4632915.234704113, 299108.1856196719 4632920.725724864, 299096.66535088676 4632932.540539534, 299089.6765309811 4632937.615796807, 299083.9167365654 4632937.633601512, 299071.5058543085 4632933.471598754, 299067.0245721504 4632931.664288252, 299060.57056271203 4632925.3342264695, 299064.4882833336 4632921.890101839, 299061.8483066362 4632914.041294536, 299061.6731095249 4632907.823248612, 299055.97112168797 4632904.583492252))",88,,2552.535123117174,29.00608094451334,0.12644959693348587
way,146063076,,surface,"POLYGON ((299338.227045289 4633681.119460958, 299347.1679676075 4633665.988257922, 299371.10900827026 4633677.082630046, 299361.5599258871 4633694.231156856, 299338.227045289 4633681.119460958))",17,,493.3899296448472,29.022937037932188,0.02444195857271576
way,165671844,,surface,"POLYGON ((299579.2641750806 4633302.762460483, 299582.5464939751 4633292.680136575, 299582.3779712446 4633286.684163697, 299590.31789305084 4633268.725580599, 299697.7384875322 4633314.3130636485, 299683.036115205 4633347.185435567, 299579.2641750806 4633302.762460483))",159,5.0,4137.443619176926,26.02165798224482,0.20496410538752416
way,238220234,Rhode Island Department of Health Parking Lot,surface,"POLYGON ((299539.883510041 4634065.726987886, 299538.34344962775 4634053.813302303, 299535.61166814296 4634032.620898685, 299531.7523399483 4634002.65914602, 299537.80714625143 4634001.933268756, 299537.2137812553 4633995.904784063, 299564.1002077538 4633992.092904989, 299572.2197781416 4633997.409737138, 299579.1732927289 4634076.2459261995, 299575.527673808 4634090.238969858, 299546.93812137615 4634152.2834806135, 299541.1693251929 4634148.989722774, 299539.5986750666 4634151.3563899845, 299532.3878985245 4634148.503235153, 299534.04033909016 4634146.089816496, 299528.1096438901 4634144.7230746, 299555.96786792594 4634080.909940116, 299545.39397232025 4634081.407275263, 299544.94725757744 4634066.406923832, 299539.883510041 4634065.726987886))",174,5.0,4869.592618114671,27.986164471923395,0.2412339082875813
way,238221387,Rhode Island Department of Administration Parking Lot,surface,"POLYGON ((299438.80403579026 4634108.41920688, 299440.0307066887 4634113.618663045, 299448.1717002956 4634117.33455636, 299452.11705156276 4634133.503311992, 299448.93878371693 4634138.693339774, 299449.5732485405 4634144.998477805, 299425.3355594418 4634148.114006944, 299423.1163090763 4634148.398696457, 299418.7110251443 4634148.967142981, 299403.10953300085 4634150.950764437, 299402.45032974647 4634145.835357209, 299396.9953750787 4634147.200113462, 299376.49726012314 4634102.171408122, 299381.15790755226 4634100.3400428565, 299379.79189585627 4634095.2111901045, 299415.4950666226 4634089.0170195615, 299416.4791424469 4634095.0456204135, 299420.6091729413 4634094.440469305, 299421.0878806523 4634097.571825794, 299421.69828521856 4634101.544023647, 299417.7100542678 4634102.167409587, 299418.3454035444 4634107.6168622635, 299394.4339542835 4634110.812209364, 299395.2025127645 4634114.2021076055, 299438.80403579026 4634108.41920688))",100,,2895.698394346004,28.956983943460042,0.14344950300187737
way,238221388,State of Rhode Island Employee Parking Lot,surface,"POLYGON ((299511.5473894238 4634159.234980006, 299523.7815478222 4634167.836442177, 299529.9489583806 4634164.618194227, 299537.5262720149 4634177.551140562, 299534.2874832711 4634185.909877548, 299516.3268241584 4634232.253822084, 299508.1491756495 4634236.684318436, 299450.94171898137 4634238.249047266, 299415.00143177004 4634184.598050417, 299413.85285750695 4634176.5627229335, 299412.6902221136 4634168.027730569, 299429.48366554384 4634166.466202641, 299428.45592731 4634161.83899863, 299506.891671353 4634152.376186431, 299506.8489543196 4634158.244761256, 299511.5473894238 4634159.234980006))",260,5.0,7828.186597275023,30.10840998951932,0.3877991848107091
way,238244143,,surface,"POLYGON ((299537.580144278 4633876.813551294, 299539.99129628006 4633877.734763397, 299542.3598017649 4633878.912761492, 299544.53274703585 4633880.229608087, 299547.6283539006 4633883.620764762, 299549.44526800653 4633886.758950677, 299542.35125108424 4633887.180657796, 299537.46894756414 4633883.795290896, 299533.8199492151 4633887.620560719, 299511.1268528991 4633891.314605969, 299509.2801470793 4633889.777458517, 299510.61475428357 4633884.039243675, 299506.6289961102 4633880.617572367, 299502.5447956733 4633849.462010744, 299507.61606033763 4633848.630426158, 299508.6043879731 4633842.990849185, 299533.15446974506 4633842.967258959, 299537.580144278 4633876.813551294))",48,,1455.0664503518756,30.31388438233074,0.07208228576057346
way,238244145,,surface,"POLYGON ((299575.80863960355 4633813.47578209, 299596.9484632503 4633815.126251535, 299597.0875651317 4633816.822543972, 299597.13670057757 4633817.387896977, 299597.6349571884 4633818.85184541, 299598.1553853468 4633819.626199755, 299599.1788307753 4633819.964142639, 299600.9657858114 4633820.55843566, 299602.44615386415 4633822.072566172, 299602.99423594645 4633823.535114411, 299603.90029365564 4633830.932752742, 299604.15915710677 4633832.158956798, 299604.5368473935 4633832.881761396, 299604.9399529933 4633833.326040806, 299605.4281656389 4633833.545679413, 299605.97750828194 4633833.574688468, 299609.8777949007 4633833.365050262, 299614.620623391 4633872.003024048, 299610.1484118792 4633872.562109244, 299609.7172066041 4633872.5964541305, 299609.4555226277 4633872.748271017, 299609.3556797339 4633873.040000622, 299609.3478095707 4633873.351369983, 299609.77484938153 4633878.195500652, 299607.24119144224 4633878.533414014, 299604.7656645267 4633878.869694337, 299602.14097060263 4633879.2212808225, 299599.607313221 4633879.559196921, 299596.9992284962 4633879.910318462, 299594.4240494672 4633880.249403571, 299593.9105217727 4633875.285467501, 299593.73806836124 4633874.768030627, 299593.1957846911 4633874.694374539, 299592.8104713103 4633874.883004553, 299592.7005748419 4633875.408378188, 299593.67113771185 4633883.326487426, 299585.38371516904 4633884.459556435, 299584.47645701666 4633876.428543819, 299584.2480569978 4633875.990466896, 299583.8214107446 4633875.891335972, 299583.5053421445 4633876.178031896, 299583.4073731625 4633876.536383876, 299583.86714726454 4633881.657404839, 299581.34822717984 4633881.92823862, 299578.74626320205 4633882.201407813, 299576.18613352603 4633882.48451435, 299573.58416983206 4633882.757685439, 299571.04864149506 4633883.028989799, 299568.4632868837 4633883.301695848, 299565.8616357709 4633883.585973435, 299563.3094990477 4633883.857747502, 299560.6414130154 4633884.143894765, 299560.29095239 4633879.364286562, 299560.02839676966 4633878.893833269, 299559.4872373232 4633878.564562034, 299556.66511417204 4633877.510436188, 299554.9564055067 4633876.447232497, 299549.7738950746 4633871.547893254, 299548.5989147975 4633869.958512565, 299547.96827866574 4633869.698432488, 299542.582270067 4633870.272140115, 299538.29741959163 4633836.999733657, 299538.0005811068 4633834.718917205, 299531.4050399822 4633783.409319185, 299536.3423580325 4633782.837110602, 299536.6483764893 4633782.784056583, 299536.87653227535 4633782.622067431, 299536.9961049056 4633782.44090641, 299536.9962922613 4633782.151977723, 299536.3852546883 4633777.26857244, 299565.0972610002 4633773.916593461, 299572.12001188216 4633813.823949755, 299575.80863960355 4633813.47578209))",215,,5866.075211034907,27.284070748999564,0.29059848747978484
way,313086572,,surface,"POLYGON ((299792.48863354785 4633330.220986042, 299795.8460385453 4633333.460442682, 299798.5208446778 4633335.774511039, 299799.76942951325 4633336.72845973, 299800.81659875554 4633337.021319263, 299801.7268347916 4633337.173562179, 299802.6932235564 4633336.957519354, 299804.51137745485 4633335.995256809, 299813.4614575949 4633330.0210989015, 299819.3599942407 4633325.188297029, 299832.88642232516 4633311.395913329, 299833.22608510475 4633310.7640842, 299833.60653928516 4633309.808850422, 299833.6951802743 4633309.117393349, 299833.70876404695 4633308.416930806, 299833.5442012509 4633307.588120201, 299832.99272906967 4633306.892406937, 299827.51760800625 4633302.234431662, 299823.77785990434 4633298.9945811285, 299817.88203534513 4633305.405262522, 299816.47460535564 4633304.122397775, 299793.67362227273 4633328.909788757, 299792.48863354785 4633330.220986042))",26,,669.7102452211751,25.75808635466058,0.03317666025571713
way,313087296,,surface,"POLYGON ((299828.2829011872 4633278.865794723, 299839.2970242045 4633288.680016872, 299845.5030118403 4633294.206478307, 299847.2883098937 4633295.034246226, 299848.8745794027 4633294.989721531, 299850.6264191577 4633294.3293679645, 299872.45842608716 4633271.136221844, 299873.22112561844 4633269.881340643, 299873.2649119777 4633268.479949897, 299872.7046069098 4633267.173299796, 299865.27120856906 4633260.558911348, 299853.874315295 4633250.433133105, 299828.2829011872 4633278.865794723))",22,,1038.979153637622,47.22632516534645,0.051469808979290856
way,313089113,,surface,"POLYGON ((299959.92765854974 4632900.661997663, 299984.2423796983 4632881.466799333, 299982.49132725084 4632920.68704115, 299980.4836748878 4632922.010160497, 299967.3229936027 4632910.355694968, 299959.92765854974 4632900.661997663))",18,,515.7310899471264,28.6517272192848,0.025548713457169477
way,313089114,Across Courthouse Parking Place,surface,"POLYGON ((299947.5223416672 4632788.5193503285, 299973.14519174007 4632821.582290736, 299929.31279786496 4632859.127060001, 299904.8502540584 4632826.24285098, 299947.5223416672 4632788.5193503285))",122,,2368.6412280077197,19.41509203285016,0.11733970900108318
way,313089115,P2 Lot,surface,"POLYGON ((299980.99624175404 4632832.407798087, 299986.86993159854 4632839.710583172, 299984.8340329353 4632860.181116462, 299950.9080487741 4632887.291221475, 299935.8021796778 4632868.523885568, 299980.99624175404 4632832.407798087))",60,,1287.5612044362674,21.459353407271124,0.06378427229214105
way,313089116,,surface,"POLYGON ((299944.12025200756 4632896.293746104, 299929.00214579003 4632908.496978453, 299921.2364321552 4632898.93594463, 299923.2331786262 4632897.224180958, 299914.8890673418 4632887.490469217, 299927.91793891334 4632876.368158841, 299944.12025200756 4632896.293746104))",22,,462.0474497578394,21.00215680717452,0.022889288870851645
way,313089117,,surface,"POLYGON ((299876.5956242068 4632851.660687881, 299894.9132831349 4632836.767275378, 299919.9819349431 4632868.145387925, 299901.2107235627 4632882.573631881, 299876.5956242068 4632851.660687881))",53,,941.7787002116013,17.769409437954742,0.046654612492410555
way,313089118,Lot 200,surface,"POLYGON ((300005.2878036149 4632853.873518349, 300006.5469341644 4632800.365465745, 300058.32020260976 4632757.553583512, 300054.335194011 4632753.575951357, 300068.82603919384 4632741.512841566, 300051.1873976943 4632722.238424995, 300062.19754477113 4632712.028642746, 300081.57616572804 4632734.365774197, 300078.9585679936 4632737.061667004, 300078.6789071107 4632740.725474424, 300082.7553813406 4632787.405375181, 300080.7254903659 4632792.385054287, 300005.2878036149 4632853.873518349))",177,6.0,4522.751244091652,25.552266915772044,0.22405179331965577
way,313089119,100 Pine St,surface,"POLYGON ((299819.258378081 4632830.33387425, 299825.70347588416 4632826.597006153, 299848.57276402623 4632778.705275109, 299829.1558254177 4632751.769281254, 299776.78070019477 4632773.397352506, 299819.258378081 4632830.33387425))",100,,2958.0282684799363,29.580282684799364,0.14653725187936414
way,328466693,,surface,"POLYGON ((299921.08419345267 4632984.76116163, 299899.40434547106 4633000.382276507, 299896.0475850672 4633008.721856755, 299905.39701483905 4633024.072426682, 299910.2170248944 4633033.816099048, 299945.2479515467 4633028.64392619, 299944.91372452787 4633016.729714331, 299921.08419345267 4632984.76116163))",72,,1507.2496629251073,20.934023096182045,0.07466738092217162
way,328466694,Dyer Street Lot,surface,"POLYGON ((299956.2910661797 4633063.782646591, 299978.2510125822 4633060.521922159, 299979.1942174337 4633035.770418984, 299977.2383055588 4633032.713812276, 299974.33869192924 4633031.572780414, 299968.72654046677 4633030.330036532, 299955.3949483829 4633028.2814947525, 299954.280783077 4633029.157289856, 299953.2492598421 4633031.49760148, 299951.6485021104 4633031.620292374, 299956.2910661797 4633063.782646591))",50,,793.3556135935107,15.867112271870214,0.03930190682011338
way,328466695,Old Colony Lot,surface,"POLYGON ((299928.7215201984 4632976.712663058, 299950.5726972699 4632959.786691582, 299963.36155205045 4632977.152204448, 299958.2377198059 4632979.98512531, 299961.94288220047 4632986.137465044, 299942.65645333956 4632995.523934912, 299928.7215201984 4632976.712663058))",50,,679.6880315218636,13.593760630437274,0.03367094808924545
way,334944345,191 Weybosset St,surface,"POLYGON ((299626.7450218305 4632887.901741439, 299616.07596929406 4632878.567047134, 299614.7744059452 4632876.914531278, 299614.13216906216 4632872.398712136, 299610.9772447663 4632869.275871906, 299610.5083127798 4632869.744657047, 299601.88231347734 4632860.941533215, 299651.263025889 4632820.638476953, 299674.07535745634 4632845.922909766, 299626.7450218305 4632887.901741439))",102,,2250.4284027509157,22.063023556381527,0.11148358425250891
way,369433010,Regency Plaza Parking,surface,"POLYGON ((299182.4078288181 4632811.322351219, 299190.3208412825 4632801.276133739, 299152.3113014095 4632770.075879991, 299149.80858142837 4632768.279468425, 299149.2702220778 4632759.493564046, 299144.78445628437 4632755.463834603, 299135.38768233557 4632755.917389917, 299131.66683266783 4632761.633975934, 299131.6769132321 4632770.845920056, 299182.4078288181 4632811.322351219))",19,,998.7211549757865,52.564271314515075,0.04947547493153004
way,369433011,Regency Plaza Parking,surface,"POLYGON ((299167.996353823 4632777.446236195, 299170.4865658555 4632774.075714388, 299179.68724168267 4632780.828595667, 299205.6864454108 4632745.636849105, 299202.6645769798 4632743.410537474, 299205.23506190826 4632739.937757676, 299185.3064071464 4632725.3303585565, 299154.2462381546 4632767.3543997435, 299167.996353823 4632777.446236195))",71,,1423.6092604115913,20.050834653684383,0.07052393345717739
way,369433551,Providence River Animal Hospital Parking Lot,surface,"POLYGON ((299920.8660705803 4632185.220617561, 299933.630319864 4632191.585590124, 299932.83497727884 4632193.163628733, 299953.026704759 4632203.2318711765, 299958.1993653936 4632192.930106318, 299952.12266971293 4632189.966834105, 299938.5435857174 4632183.002389864, 299943.69267153915 4632173.045759051, 299940.55598680273 4632171.466874475, 299943.90215800575 4632164.805620185, 299933.6754692795 4632159.702940499, 299920.8660705803 4632185.220617561))",18,3.0,653.2212889379836,36.29007160766575,0.03235981669615929
way,369433552,,surface,"POLYGON ((299941.7870325466 4632226.327444301, 299962.10314993444 4632236.0921837315, 299986.1317402866 4632186.446194127, 299965.90014576935 4632176.734572094, 299958.1993653936 4632192.930106318, 299953.026704759 4632203.2318711765, 299948.67307666416 4632211.910490125, 299941.7870325466 4632226.327444301))",36,2.0,1239.4139357661204,34.42816488239223,0.061399113059012314
way,369433554,,surface,"POLYGON ((299910.7087034761 4632244.823362274, 299935.86186506704 4632257.21932542, 299948.6516461625 4632231.302172082, 299939.65157874255 4632226.954066787, 299923.44463843893 4632219.063243672, 299918.5927775416 4632228.94488253, 299918.19957487227 4632229.744889973, 299911.23594773683 4632243.764009795, 299910.7087034761 4632244.823362274))",24,1.0,807.0777144762752,33.628238103178134,0.03998168360750865
