element_type,osmid,name,parking,geometry,capacity,capacity:disabled,area,efficiency,area_percent
way,498593333,Providence Station Garage,underground,"POLYGON ((299683.2294669098 4633622.401281131, 299641.72625272075 4633661.260776518, 299632.7438186731 4633651.867610497, 299580.5685415958 4633597.26070868, 299610.69761246 4633549.374968343, 299683.2294669098 4633622.401281131))",330,,5353.317336263182,16.222173746252068,0.2651970636160557
way,764264706,100 Westminster Street Parking Garage,underground,"POLYGON ((299777.4513166889 4633154.62271281, 299761.53458082554 4633139.834525788, 299758.9144014822 4633137.396696359, 299799.7347583212 4633093.912337728, 299818.224645113 4633111.239791311, 299777.4513166889 4633154.62271281))",115,,1508.9679275261806,13.121460239358091,0.0747525017356966
way,764264707,The Peerless Lofts Garage,underground,"POLYGON ((299610.040334053 4633001.884419705, 299570.7623414305 4632965.961640016, 299586.1120732875 4632949.306126313, 299618.050160954 4632977.523185709, 299625.8817243601 4632984.681780025, 299610.040334053 4633001.884419705))",68,,1228.8954092974393,18.071991313197636,0.06087803759162574
way,764441929,121 South Main St Garage,underground,"POLYGON ((300134.5146163349 4633014.569318695, 300103.2813812825 4632992.7310553705, 300090.1668793323 4633019.479436501, 300083.24587292643 4633034.108421733, 300114.5425764542 4633049.021807479, 300121.5496961664 4633034.201531436, 300124.2369781684 4633030.436906654, 300134.5146163349 4633014.569318695))",160,,1531.043359211106,9.569020995069412,0.07584609273603614
way,764441930,Packet Garage,underground,"POLYGON ((300127.2010562616 4632957.067780711, 300126.2663504445 4632958.4163489025, 300117.3519343923 4632971.3231820855, 300115.59754026623 4632970.116657451, 300111.50792362785 4632976.043051913, 300112.8635586678 4632976.960718375, 300102.9348646316 4632991.340610027, 300135.68974284845 4633013.791856024, 300159.5492478496 4632979.241616475, 300130.9978325873 4632959.672787516, 300127.2010562616 4632957.067780711))",75,,1670.681007347758,22.27574676463677,0.08276357808764084
way,765290065,Avalon at Center Place Garage,underground,"POLYGON ((299656.78071348614 4633501.041099274, 299641.89707819116 4633531.285051705, 299660.0430050164 4633549.999668361, 299679.5836930629 4633570.141979547, 299695.9626935623 4633554.368919017, 299670.2166928515 4633526.35551188, 299674.5696792167 4633520.065819275, 299656.78071348614 4633501.041099274))",371,,1564.570194595247,4.217170335836245,0.07750697284788459
way,765290067,Gateway Center Parking,underground,"POLYGON ((299558.98021252593 4633499.5558787, 299531.43331279396 4633532.267443066, 299543.0763476922 4633531.928992831, 299543.66634764045 4633535.768420229, 299544.7692483923 4633539.226717907, 299546.833762325 4633541.413389058, 299549.3984358669 4633543.652674395, 299552.6971825484 4633544.804530384, 299556.4919076889 4633545.564622213, 299556.52105746686 4633558.131964046, 299566.0648058637 4633567.675953907, 299588.0283862081 4633528.231746556, 299558.98021252593 4633499.5558787))",175,9.0,1757.9165172876897,10.04523724164394,0.08708512295896878
way,765290068,IGT Building Garage,underground,"POLYGON ((299424.8427488102 4633360.110732155, 299426.0160731952 4633366.956329514, 299428.99721750966 4633375.42905466, 299432.0399705162 4633375.454592391, 299431.9537819624 4633380.368715749, 299465.7880794811 4633380.294991496, 299465.67878512456 4633376.408711893, 299468.7639983705 4633376.4664084185, 299469.9282781759 4633365.554589569, 299471.8905300668 4633354.053596404, 299475.7656894267 4633340.2318735095, 299483.6862984245 4633323.962782804, 299488.48830232536 4633316.793580328, 299493.7798158508 4633311.366381994, 299453.6439262414 4633293.670590967, 299453.78625102865 4633296.366910527, 299440.8533511849 4633296.663973531, 299440.5131971786 4633302.596470603, 299425.87701312196 4633302.619207458, 299425.9069082183 4633314.319766419, 299421.7145935799 4633314.204328428, 299422.4041784348 4633334.287337383, 299424.8427488102 4633360.110732155))",249,,4241.666456881207,17.03480504771569,0.21012718255720325
way,767694422,One Empire Plaza Parking,underground,"POLYGON ((299309.3130067068 4632799.582466536, 299317.49766392674 4632799.774428463, 299349.1500633451 4632764.0018984, 299349.5579586636 4632757.522984393, 299352.5155674644 4632754.21716935, 299344.0844008998 4632746.74234073, 299341.6292443096 4632744.566703574, 299334.7069111678 4632738.427376397, 299328.4374921648 4632745.449036517, 299326.16974270507 4632743.434817909, 299288.64941272803 4632785.4288680665, 299307.22557848255 4632801.908145031, 299309.3130067068 4632799.582466536))",35,,1941.9537125122981,55.48439178606566,0.0962021098110446
way,767912677,Textron Building Garage,underground,"POLYGON ((299945.97339550086 4633128.279443101, 299956.7660875653 4633127.532181893, 299949.53404838557 4633147.948489049, 299948.6682671239 4633157.084933727, 299898.2848232399 4633162.21008198, 299896.86436563294 4633148.615036949, 299895.6610014223 4633136.5362979565, 299946.0449387674 4633131.422241269, 299945.97339550086 4633128.279443101))",85,,1442.5470547249156,16.971141820293123,0.07146208958127596
