,osmid,name,geometry,highway,nodes,oneway,parking:lane:left,parking:lane:both,parking:lane:right,parking:lane:left:capacity,parking:lane:both:capacity,parking:lane:right:capacity,capacity,surface,lanes,cycleway
0,19352934,Abbott Park Place,"LINESTRING (-71.4135689 41.8203979, -71.413396 41.8202109, -71.4133706 41.8201952, -71.413342 41.8201866, -71.4133143 41.8201867, -71.4133003 41.8201875, -71.4132866 41.8201903, -71.413222 41.8202186, -71.4132184 41.8202202, -71.4131857 41.8202393, -71.4131625 41.820257, -71.4131479 41.8202746, -71.4131451 41.820293, -71.4131499 41.8203153, -71.4131619 41.8203378, -71.4132007 41.8203882, -71.413342 41.8205703, -71.413401 41.8206418)",residential,"[201136951, 6688133317, 9902979768, 201136956, 9902979813, 9910811316, 6688133316, 9910811313, 9902979770, 6688133315, 9910812217, 9902979769, 201136960, 9902979771, 201136964, 6688133314, 7869917720, 201136968]",yes,,,parallel,0,0,8,8,asphalt,,
1,19357901,Imperial Place,"LINESTRING (-71.411812 41.817234, -71.4117653 41.8171805, -71.4117199 41.8171253, -71.4114032 41.816687)",unclassified,"[201215980, 9888578019, 4405117559, 201215984]",,,parallel,,0,10,0,10,asphalt,,
2,19357921,Washington Place,"LINESTRING (-71.4093479 41.8267641, -71.408951 41.826885, -71.408831 41.8269125, -71.40873 41.826935)",primary,"[201216304, 201216308, 9847450219, 201216312]",yes,parallel,,,6,0,0,6,asphalt,3,
3,19359927,Exchange Street,"LINESTRING (-71.4105988 41.8253915, -71.4107432 41.8254983, -71.410883 41.8256076, -71.4109694 41.8256744, -71.4110547 41.8257367)",secondary,"[201246122, 1772116238, 1772116212, 1772116107, 201246119]",,parallel,,,4,0,0,4,asphalt,,
4,19359928,Exchange Street,"LINESTRING (-71.412758 41.827785, -71.4127035 41.8277134, -71.41259 41.827564, -71.4125478 41.8275034, -71.4123625 41.8272489, -71.4123406 41.8272198)",tertiary,"[201246155, 9875332639, 201246158, 201246162, 3149554445, 201246166]",,,,parallel,0,0,4,4,asphalt,4,lane
5,19360324,Francis Street,"LINESTRING (-71.4162762 41.8318384, -71.4162969 41.8317275, -71.416315 41.831532, -71.416351 41.831177, -71.4163656 41.8310263, -71.416382 41.830856, -71.4164356 41.8304616, -71.416432 41.8303945, -71.4164238 41.8303344, -71.416399 41.8302785, -71.4163359 41.8301996, -71.415833 41.829582, -71.4155592 41.8293048, -71.4154698 41.8292233)",secondary,"[201252099, 1593530565, 201252103, 201252107, 6755477981, 201252112, 201252119, 201187929, 6646451487, 201252124, 201252128, 201252133, 201252138, 201252147]",,,parallel,,0,63,0,63,asphalt,,
6,19361592,Peck Street,"LINESTRING (-71.4094501 41.8230902, -71.4102439 41.8235537, -71.4102705 41.8235813)",unclassified,"[201271494, 9849168785, 201271490]",yes,parallel,,,14,0,0,14,asphalt,,
7,19362583,Custom House Street,"LINESTRING (-71.4097082 41.824315, -71.409638 41.824309, -71.4096089 41.8243065, -71.409226 41.824278, -71.4091207 41.8242701, -71.4089481 41.8242586, -71.408803 41.8242488, -71.4087918 41.8242481, -71.4085096 41.8242273, -71.4084999 41.8242262, -71.4084328 41.8242185)",residential,"[201284791, 9888236436, 201284788, 9021122453, 201284783, 9021122455, 9021122457, 201160656, 201284779, 9888236320, 201284776]",yes,parallel,,,15,0,0,15,asphalt,,
8,19363853,Park Row West,"LINESTRING (-71.4122897 41.8290616, -71.4123829 41.828999, -71.412698 41.8287215, -71.4128197 41.8286258)",tertiary,"[201303978, 1593531115, 1359932463, 5406116904]",,parallel,,,5,0,0,5,asphalt,,
9,19363927,American Express Plaza,"LINESTRING (-71.4131718 41.8283531, -71.4132376 41.8283017, -71.413284 41.828266, -71.4138451 41.8278081, -71.4139149 41.8277633, -71.4139687 41.8277395, -71.4140653 41.8277043, -71.4148017 41.827461, -71.4148537 41.8274474, -71.41493 41.8274421, -71.4151749 41.8274521, -71.4152094 41.8274549)",tertiary,"[201246145, 1593530881, 201304860, 201304864, 201304868, 201304871, 201304875, 201304892, 201304903, 201304914, 1772116135, 201304920]",,parallel,,,15,0,0,15,asphalt,,
