,geometry,u,v,key,osmid,highway,name,lanes,oneway,length,capacity,ref
0,"LINESTRING (-71.4082204 41.8221573, -71.40822729999999 41.8222311)",201123251.0,6755695537.0,0.0,544197958.0,primary,Dyer Street,3,False,8.226,7.0,
1,"LINESTRING (-71.4082204 41.8221573, -71.40820069999999 41.8219891)",201123251.0,6755695544.0,0.0,544197958.0,primary,Dyer Street,3,False,18.774,7.0,
2,"LINESTRING (-71.40986599999999 41.819019, -71.410591 41.818962)",201209519.0,201724703.0,0.0,461418252.0,unclassified,Ship Street,,True,60.413,10.0,
3,"LINESTRING (-71.40986599999999 41.819019, -71.409113 41.8191409)",201209519.0,201521613.0,0.0,461418257.0,unclassified,Ship Street,,False,63.855,5.0,
4,"LINESTRING (-71.409966 41.818134, -71.409592 41.817966)",201209532.0,201505930.0,0.0,19395298.0,unclassified,Chestnut Street,,False,36.188,24.0,
5,"LINESTRING (-71.409966 41.818134, -71.410614 41.818424)",201209532.0,201708114.0,0.0,19395298.0,unclassified,Chestnut Street,,False,62.638,24.0,
6,"LINESTRING (-71.410988 41.816082, -71.410065 41.81646)",201215989.0,201315006.0,0.0,761494793.0,unclassified,South Street,,False,87.279,5.0,
7,"LINESTRING (-71.4082519 41.8224481, -71.40835939999999 41.8224894)",201271501.0,2782796081.0,0.0,273425016.0,unclassified,Peck Street,,True,10.022,5.0,
8,"LINESTRING (-71.409497 41.8156714, -71.4094568 41.8156148)",201302692.0,4405117517.0,0.0,761494799.0,unclassified,Hospital Street,,False,7.121,5.0,
9,"LINESTRING (-71.4079916 41.8162698, -71.4082963 41.8166819)",201302701.0,3732216356.0,0.0,19395298.0,unclassified,Chestnut Street,,False,52.32,24.0,
10,"LINESTRING (-71.40725550000001 41.8165497, -71.407844 41.817371)",201302710.0,201314996.0,0.0,761494794.0,unclassified,Richmond Street,,False,103.531,18.0,
11,"LINESTRING (-71.407844 41.817371, -71.40725550000001 41.8165497)",201314996.0,201302710.0,0.0,761494794.0,unclassified,Richmond Street,,False,103.531,18.0,
12,"LINESTRING (-71.407844 41.817371, -71.407906 41.817467)",201314996.0,201521620.0,0.0,761494794.0,unclassified,Richmond Street,,False,11.847,18.0,
13,"LINESTRING (-71.408579 41.817084, -71.4082963 41.8166819)",201315000.0,3732216356.0,0.0,19395298.0,unclassified,Chestnut Street,,False,50.478,24.0,
14,"LINESTRING (-71.408579 41.817084, -71.408973 41.817662)",201315000.0,201423873.0,0.0,19395298.0,unclassified,Chestnut Street,,False,72.089,24.0,
15,"LINESTRING (-71.410065 41.81646, -71.410988 41.816082)",201315006.0,201215989.0,0.0,761494793.0,unclassified,South Street,,False,87.279,5.0,
16,"LINESTRING (-71.4123469 41.8179027, -71.41195260000001 41.8177043)",201360701.0,7150287905.0,0.0,49075843.0,unclassified,Claverick Street,,False,39.426,10.0,
