BUS_LIC_ID,LIC_NUMBER,DBA,EXPIRATION_DATE,PERMIT_DATE,LAST_FEE,PRIMARY_LICENSE,PRIMARY_LIC_DESC,PRIMARY_LIC_LEGAL,PRIMARY_LIC_PURPOSE,CITY_STATE,Amusement Center,Bingo,Employment Agency,Entertainment,Expansion of Premises,1-4 Extended Hours,Food Dispenser,Frozen Desserts,Junk Shop,Laundry/Dry Cleaning,Class A Liquor,Class B Limited Liquor,Class B Tavern,Class BV Food and Liquor,Class C Neighborhood Bar,Class D Social Club,Class E Pharmacy,Class ED Restaurant in certain areas of the city,Class F One day beer and wine,Class J Convention Center,Class RBH Hotel Room,BX Rider 2AM Closing,EDX Rider 2AM Closing,Class N Night Club,Class T Theatre,Mechanical Device,Motor Vehicle Repair,Parking,Pawnbroker,RevolSale,Second Hand Auto Sales,Second Hand Store,Petroleum Storage,Sunday/Holiday Sales,Tavern1,Tavern3,Tobacco,Valet,Yard Sale,LOCATION,ADDRESS,ZipCode,NOTES,Geolocation
77393,JK200500559,METAL SERVICES,01-May-2019 00:00:00,10-May-2017 00:00:00,100,JunkShop,Junk Shop,Junk Shop License,"To purchase, sell or barter junk and old metals at",77393,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,199 Branch Ave,,,
86383,LY200500704,Smith Hill Laundromat,01-Jul-2019 00:00:00,09-Aug-2018 00:00:00,165,Laundry,Laundry,Public Laundry License,To conduct laundry\cleaner at,86383,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,411 Smith St,,,
87078,MV200500878,Dane Auto Sales LLC,01-Aug-2019 00:00:00,28-Aug-2018 00:00:00,200,MoVehRep,Motor Vehicle Repair,Motor Vehicle Repair Business,To repair vehicle at,87078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,620 Broad St,"Renewal

bcarvalho - 8/28/2018 12:28:40 PM",,
88941,FD200503751,Mia Saludable,31-Jan-2019 00:00:00,09-Jul-2018 00:00:00,220,FoodDisp,Food Dispenser,Food Dispenser License,To dispense food,88941,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,47 Academy Ave,"NEW
 - 7/9/2018 11:37:39 AM",,
89481,FD200503778,Sandwich Shop,31-Jan-2019 00:00:00,01-Oct-2018 00:00:00,220,FoodDisp,Food Dispenser,Food Dispenser License,To dispense food,89481,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,8 Academy Ave,"new
 - 10/1/2018 4:13:41 PM",,
89682,SH200500737,Scrap X,01-May-2019 00:00:00,09-Nov-2018 00:00:00,200,SecHandStore,Second Hand Stores,Second-Hand Store License,To buy and sell Second-Hand Goods at,89682,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,278 Allens Ave,"#97643 New
 - 11/9/2018 10:46:43 AM",,
84451,BV200501763,LIM'S,01-Dec-2019 00:00:00,28-Nov-2018 00:00:00,2220,LiquorBvic,"Beverages, Class B Victualling","Retailer's Intoxicating Beverages License, Class B-V",To sell at retail Beverages and food at,84451,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,18 South Angell St,"Must close at 10 PM Monday thru Thurs; 10:30 PM Friday and Saturdays; 9 PM on Sunday.  Agreement Attached

Lwilson - 11/28/2018 3:16:54 PM",,
87539,BV200501898,Jet Set,01-Dec-2019 00:00:00,30-Nov-2018 00:00:00,2820,LiquorBvic,"Beverages, Class B Victualling","Retailer's Intoxicating Beverages License, Class B-V",To sell at retail Beverages and food at,87539,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,1095 Eddy St,"Renewal
Lwilson - 11/30/2018 11:26:54 AM",,
58915,FD200502293,SHELL,31-Jan-2019 00:00:00,27-Feb-2018 00:00:00,520,FoodDisp,Food Dispenser,Food Dispenser License,To dispense food,58915,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,1100 Hope St,"Renewal
bcarvalho - 2/27/2018 8:28:13 AM",,
87287,BV200501848,Pasta Beach,01-Dec-2019 00:00:00,28-Nov-2018 00:00:00,2220,LiquorBvic,"Beverages, Class B Victualling","Retailer's Intoxicating Beverages License, Class B-V",To sell at retail Beverages and food at,87287,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,195 Wayland Ave,"Renewal-112199
sbodden - 11/28/2018 12:04:28 PM",,
