Zoning,ParcelID,plu,ValueTotal,ValueLand,ValueBuilding,Use,geometry,OSMArea,ParcelArea,missing_valuation,missing_perc,taxCurrent,taxPotential
D-1-75,41978,019-0113-0000,1394800.0,1374800.0,0.0,Acc Comm Lnd,"POLYGON ((-7949445.640344847 5135299.057046338, -7949444.770489798 5135298.895139333, -7949487.02913762 5135248.596539622, -7949487.574265452 5135249.142244192, -7949445.640344847 5135299.057046338))",27.937418722740176,2308.3834929100276,16532620.11013283,11.853039941305441,51189.16,606747.1580418749
D-1-200,41978,019-0113-0000,1394800.0,1374800.0,0.0,Acc Comm Lnd,"POLYGON ((-7949444.770489798 5135298.895139333, -7949442.825075957 5135298.533037186, -7949435.511385413 5135283.055956918, -7949428.89900766 5135267.280117105, -7949424.078873709 5135255.911369883, -7949421.585317113 5135247.052421166, -7949417.076877737 5135240.583750477, -7949417.03234994 5135235.668758814, -7949430.435216632 5135219.310370098, -7949432.63934255 5135216.666140028, -7949436.012323121 5135211.840795513, -7949439.964165044 5135214.768868056, -7949442.880735702 5135216.9201056, -7949445.641459076 5135218.189933536, -7949447.589550164 5135219.086282777, -7949448.546897785 5135219.534457425, -7949451.574787934 5135220.938738131, -7949454.547018337 5135221.864965942, -7949457.808679417 5135222.432654, -7949459.934881692 5135222.387836525, -7949461.459958715 5135223.060098737, -7949465.40066869 5135226.630558847, -7949468.183655961 5135229.155278312, -7949470.621552808 5135231.94890358, -7949472.758887032 5135234.174840873, -7949475.007540746 5135236.520292141, -7949477.389777848 5135238.985257469, -7949479.571639868 5135241.256013972, -7949481.720106041 5135243.481953434, -7949484.247058483 5135246.111251718, -7949486.128357875 5135247.694806716, -7949487.02913762 5135248.596539622, -7949444.770489798 5135298.895139333))",1799.6082397855293,2308.3834929100276,1254077.9194570964,0.8991094920111101,51189.16,46024.659644075444
D-1-75,42812,019-0119-0000,1338600.0,1316100.0,0.0,Acc Comm Lnd,"POLYGON ((-7949520.514948583 5135309.48353477, -7949516.930460978 5135312.471394405, -7949509.104700777 5135313.457388299, -7949504.930219871 5135310.170742405, -7949496.625785857 5135302.910246853, -7949481.998404767 5135298.14461594, -7949475.374895066 5135298.831822758, -7949469.397038409 5135300.908382796, -7949452.376288268 5135300.310811519, -7949445.640344847 5135299.057046338, -7949487.574265452 5135249.142244192, -7949493.664687403 5135255.239105359, -7949517.53158623 5135281.711424099, -7949523.44265119 5135290.167044743, -7949526.782235914 5135294.260404411, -7949527.082798539 5135299.040972672, -7949525.290554737 5135306.196890249, -7949520.514948583 5135309.48353477))",1404.8312318205508,2183.7487744516493,15639987.469527632,11.683839436372054,49126.64,573987.7738084528
D-1-75,25556,019-0118-0000,3395100.0,3354800.0,0.0,Paid Prkg Lot,"POLYGON ((-7949599.351411961 5135214.245997893, -7949597.43671672 5135221.297277918, -7949596.045223084 5135223.523212737, -7949595.121271312 5135225.465303939, -7949557.061137409 5135262.529443167, -7949553.732684634 5135265.845951137, -7949553.276274722 5135266.025221871, -7949552.808732862 5135265.816072682, -7949518.789496474 5135234.936738997, -7949516.262544034 5135233.696787181, -7949514.102945912 5135234.144962518, -7949511.854292198 5135235.89284652, -7949504.987270556 5135229.984455825, -7949570.965302496 5135158.88070665, -7949570.308156813 5135162.437176114, -7949578.979945147 5135173.417396045, -7949582.31952987 5135182.5899976, -7949590.089630329 5135193.032432552, -7949597.848598836 5135206.178861869, -7949599.351411961 5135214.245997893))",2769.7525649531754,4268.057124351744,30567783.586210042,9.003500216844877,124600.2,1121837.927718915
D-1-75,39421,019-0114-0000,2422800.0,2391300.0,0.0,Acc Comm Lnd,"POLYGON ((-7949504.987270556 5135229.984455825, -7949504.37166318 5135229.45478633, -7949570.610137033 5135158.069300853, -7949570.987205708 5135158.762166544, -7949570.965302496 5135158.88070665, -7949504.987270556 5135229.984455825))",43.80652503470719,3479.717289456908,24921701.361124072,10.286322173156709,88916.76,914626.4399532535
D-1-200,39421,019-0114-0000,2422800.0,2391300.0,0.0,Acc Comm Lnd,"POLYGON ((-7949504.37166318 5135229.45478633, -7949503.572122084 5135228.766859886, -7949501.757614383 5135226.959220516, -7949501.768746332 5135226.03299221, -7949501.43478786 5135225.002189845, -7949498.907835418 5135222.298201565, -7949496.792765093 5135219.773483912, -7949494.243548756 5135217.622245733, -7949491.772256059 5135215.202103357, -7949489.45681065 5135212.901474748, -7949486.92985821 5135210.61578584, -7949484.658940597 5135208.59900196, -7949482.276703496 5135206.044409659, -7949480.072577577 5135203.684026736, -7949477.734868269 5135200.980044478, -7949475.909228622 5135197.947402311, -7949474.573394733 5135194.58610053, -7949473.682838806 5135190.881200386, -7949472.725491184 5135187.14642347, -7949470.632684758 5135182.619875794, -7949470.799663994 5135180.797306052, -7949473.771894399 5135174.836609066, -7949474.094720922 5135173.686299548, -7949470.131747049 5135170.250310908, -7949475.040936592 5135164.349376775, -7949477.790528015 5135166.754567211, -7949479.582771818 5135164.185047019, -7949481.753501887 5135163.064616911, -7949483.857440264 5135162.45211518, -7949488.287955997 5135161.720100969, -7949489.646053785 5135161.49601499, -7949489.178511924 5135149.42525834, -7949489.568130142 5135148.887452706, -7949492.818659272 5135149.006965064, -7949493.252805287 5135149.783795446, -7949496.035792557 5135152.726788037, -7949506.188130117 5135159.001191515, -7949510.229027634 5135160.719183662, -7949523.164352464 5135160.62954928, -7949533.027259347 5135160.360646141, -7949536.110809242 5135160.181377388, -7949551.806857443 5135155.595086262, -7949559.421110614 5135155.146914607, -7949561.669764329 5135155.774354925, -7949564.341432107 5135156.177709443, -7949566.712537261 5135156.147831329, -7949569.540052328 5135156.103014157, -7949570.610137033 5135158.069300853, -7949504.37166318 5135229.45478633))",2237.1859220849033,3479.717289456908,1890429.6587045002,0.7802664927788097,88916.76,69378.76847445515
D-1-200,27204,019-0102-0211,391200.0,0.0,391200.0,Condominium,"POLYGON ((-7949700.251398417 5135187.355570939, -7949698.314439276 5135185.712269522, -7949700.028759436 5135181.006453382, -7949700.329322061 5135176.763751294, -7949700.251398417 5135171.385680933, -7949699.661405115 5135168.472560748, -7949702.266281201 5135166.829262576, -7949712.574466047 5135176.016796897, -7949707.56508896 5135182.276276558, -7949706.674533036 5135181.753408168, -7949700.251398417 5135187.355570939))",82.23287707724216,8597.198653814814,3777.995397292433,0.009657452447066547,7874.12,76.04393946249564
D-1-200,27205,019-0102-0216,369000.0,0.0,369000.0,Condominium,"POLYGON ((-7949700.251398417 5135187.355570939, -7949698.314439276 5135185.712269522, -7949700.028759436 5135181.006453382, -7949700.329322061 5135176.763751294, -7949700.251398417 5135171.385680933, -7949699.661405115 5135168.472560748, -7949702.266281201 5135166.829262576, -7949712.574466047 5135176.016796897, -7949707.56508896 5135182.276276558, -7949706.674533036 5135181.753408168, -7949700.251398417 5135187.355570939))",82.23287707724216,8597.198653814814,3563.5999529675555,0.009657452447066546,8021.52,77.46744795319324
D-1-200,27206,019-0102-0313,406900.0,0.0,406900.0,Condominium,"POLYGON ((-7949700.251398417 5135187.355570939, -7949698.314439276 5135185.712269522, -7949700.028759436 5135181.006453382, -7949700.329322061 5135176.763751294, -7949700.251398417 5135171.385680933, -7949699.661405115 5135168.472560748, -7949702.266281201 5135166.829262576, -7949712.574466047 5135176.016796897, -7949707.56508896 5135182.276276558, -7949706.674533036 5135181.753408168, -7949700.251398417 5135187.355570939))",82.23287707724216,8597.198653814814,3929.617400711378,0.009657452447066547,7738.52,74.73438891067342
D-1-200,27207,019-0102-0418,454500.0,0.0,454500.0,Condominium,"POLYGON ((-7949700.251398417 5135187.355570939, -7949698.314439276 5135185.712269522, -7949700.028759436 5135181.006453382, -7949700.329322061 5135176.763751294, -7949700.251398417 5135171.385680933, -7949699.661405115 5135168.472560748, -7949702.266281201 5135166.829262576, -7949712.574466047 5135176.016796897, -7949707.56508896 5135182.276276558, -7949706.674533036 5135181.753408168, -7949700.251398417 5135187.355570939))",82.23287707724216,8597.198653814814,4389.312137191745,0.009657452447066546,7961.08,76.88375152729253
